"GENE_ID","ADJ_PVAL"
"ENSG00000259059",1.8528161277344e-278
"ENSG00000229594",2.97658608286445e-248
"ENSG00000253777",2.13593204669882e-247
"ENSG00000114646",1.61684756778124e-244
"ENSG00000146556",1.26374452911321e-191
"ENSG00000166140",1.78932342859657e-175
